id,age,fare,pclass,sex,embarked,target
0,33,9.65,1,0,Q,1
1,32,40.49,3,0,Q,0
2,45,21.12,1,0,Q,0
3,37,23.62,1,1,Q,0
4,52,5.22,2,1,C,0
5,16,94.55,2,0,S,0
6,26,9.22,1,1,Q,1
7,46,76.65,1,1,Q,0
8,48,36.58,1,0,C,0
9,20,58.0,1,1,C,0
10,40,13.17,3,1,Q,0
11,27,31.33,3,0,Q,0
12,43,136.76,3,0,Q,0
13,48,43.87,1,0,S,0
14,30,73.3,3,1,S,0
15,38,15.11,3,1,S,0
16,35,9.14,3,1,Q,0
17,54,7.43,1,1,S,0
18,41,5.23,3,1,Q,1
19,28,14.42,2,1,Q,0
20,59,34.34,3,1,Q,0
21,37,10.42,1,1,S,0
22,43,20.83,1,0,Q,0
23,27,30.56,3,0,S,0
24,55,76.7,1,1,C,1
25,67,79.39,2,0,S,0
26,29,39.49,1,0,S,0
27,33,88.04,1,1,Q,0
28,26,23.25,3,0,Q,0
29,40,159.86,3,1,C,0
30,24,1.99,1,0,Q,0
31,38,2.21,3,0,S,0
32,48,21.66,2,1,S,0
33,38,38.55,3,1,S,0
34,38,3.06,2,1,C,0
35,26,59.82,1,0,S,0
36,19,8.58,1,1,S,0
37,60,9.79,1,0,C,0
38,39,31.68,3,0,S,0
39,30,56.65,1,1,C,0
40,56,5.4,1,1,C,0
41,11,46.13,2,1,Q,0
42,54,38.02,1,0,C,0
43,34,1.81,3,0,Q,0
44,51,75.54,3,0,S,0
45,40,2.51,1,0,Q,1
46,45,85.21,3,0,Q,0
47,23,28.98,2,1,C,1
48,33,15.11,3,1,C,0
49,24,41.81,1,0,C,0
50,29,23.14,3,1,S,0
51,32,63.82,1,1,C,1
52,47,28.38,3,0,Q,0
53,15,10.67,3,0,S,0
54,54,5.07,2,0,Q,0
55,19,34.89,2,1,C,0
56,39,16.53,2,0,S,0
57,30,4.21,2,0,Q,0
58,30,3.56,3,0,Q,1
59,16,13.82,3,0,C,0
60,24,47.71,1,1,S,0
61,65,32.98,2,1,Q,0
62,45,5.32,1,1,S,1
63,30,77.5,2,0,C,1
64,31,1.18,2,0,S,0
65,21,18.5,2,0,S,1
66,40,59.93,2,1,Q,0
67,48,34.14,3,1,S,1
68,44,98.53,2,0,S,0
69,33,12.73,2,1,Q,0
70,59,6.32,1,1,S,0
71,56,49.28,3,0,C,0
72,67,29.28,3,0,Q,0
73,24,21.22,3,1,C,0
74,33,16.36,2,0,Q,0
75,43,15.63,1,1,C,1
76,40,11.67,2,1,Q,0
77,15,19.23,3,0,Q,1
78,14,12.25,1,1,S,0
79,33,4.78,1,0,C,0
80,37,65.18,3,0,Q,0
81,19,20.46,1,0,Q,0
82,58,65.01,2,0,S,0
83,16,35.71,2,0,Q,0
84,45,48.5,3,1,C,0
85,21,38.11,3,1,Q,0
86,51,17.94,1,1,Q,0
87,60,8.2,2,0,Q,0
88,33,23.31,1,0,S,0
89,48,4.97,1,0,C,0
90,20,6.95,2,1,Q,0
91,31,0.59,3,1,C,1
92,20,57.61,2,0,C,0
93,55,17.17,1,1,C,0
94,42,55.07,1,0,C,0
95,12,32.63,1,1,S,0
96,40,11.9,2,1,C,0
97,46,14.3,2,1,S,0
98,35,91.05,1,0,Q,1
99,30,0.95,1,0,S,0
100,36,3.64,1,1,Q,0
101,52,13.81,3,0,S,0
102,38,11.22,3,1,C,0
103,37,6.63,3,0,S,0
104,28,49.12,3,0,C,0
105,57,32.5,1,1,S,0
106,38,97.16,3,1,Q,1
107,29,5.81,3,1,Q,0
108,18,17.16,3,1,C,0
109,31,53.29,1,1,C,1
110,15,14.29,1,1,C,1
111,40,7.15,2,1,C,0
112,31,0.31,1,0,S,0
113,24,20.12,1,1,Q,0
114,32,10.45,2,0,C,0
115,36,13.81,3,1,C,0
116,22,18.14,2,1,S,1
117,31,6.42,1,0,S,0
118,11,112.66,3,1,S,0
119,37,10.54,2,0,C,1
120,23,109.83,3,1,Q,0
121,32,30.47,2,0,S,0
122,19,6.11,1,1,C,1
123,38,2.03,2,0,Q,0
124,43,24.82,2,0,S,0
125,38,43.37,3,0,Q,0
126,46,26.64,2,1,Q,0
127,28,28.22,3,0,S,0
128,34,8.23,3,0,S,1
129,41,17.96,3,1,C,1
130,32,58.9,1,0,C,0
131,47,29.43,3,0,C,0
132,36,9.26,1,0,S,0
133,43,11.03,3,1,C,0
134,26,85.77,3,1,C,1
135,13,1.22,2,1,Q,0
136,67,54.23,3,0,Q,0
137,56,25.76,1,1,Q,0
138,43,26.41,3,1,S,0
139,30,15.75,2,0,S,0
